urun_adi,Fiyat_str,gelis_fiyat_usd,baski_kapasitesi,stok,kendi_depomuz,stok_kodu,yazici_uyumluluk_listesi
HP Q6511A (11A) & CANON CRG-710 (6K),10.00 USD 402.97 TL,10.00,6000,9,1,15140,"HP Q6511A (11A): 2410, 2420, 2430; CANON CRG710: LBP3460"
HP Q6003A (124A) & CANON CRG-707M Magenta Remanufactured (2K),19.72 USD 794.65 TL,19.72,2000,10,1,15198,"HP Q6003A (124A): 1600, 2600, 2605, CM1015, CM1017; CANON CRG707: LBP5000, LBP5100"
HP Q6002A (124A) & CANON CRG-707Y Yellow Remanufactured (2K),19.72 USD 794.65 TL,19.72,2000,10,1,15197,"HP Q6002A (124A): 1600, 2600, 2605, CM1015, CM1017; CANON CRG707: LBP5000, LBP5100"
HP Q6001A (124A) & CANON CRG-707C Cyan Remanufactured (2K),19.72 USD 794.65 TL,19.72,2000,10,1,15196,"HP Q6001A (124A): 1600, 2600, 2605, CM1015, CM1017; CANON CRG707: LBP5000, LBP5100"
HP Q6000A (124A) & CANON CRG-707K Black Remanufactured (2.5K),19.72 USD 794.65 TL,19.72,2500,10,1,15195,"HP Q6000A (124A): 1600, 2600, 2605, CM1015, CM1017; CANON CRG707: LBP5000, LBP5100"
"HP Q5949X,Q7553X & CANON CRG-708H,CRG-715H (7K)",6.91 USD 278.45 TL,6.91,7000,100,1,15117,"HP Q5949X (49X): 1320, 3390, 3392; HP Q7553X (53X): P2014, P2015, M2727; CANON CRG708H: LBP3300, LBP3360; CANON CRG715H: LBP3310, LBP3370"
"HP Q5949A,Q7553A & CANON CRG-708,CRG-715 (3K)",5.59 USD 225.26 TL,5.59,3000,100,10,15084,"HP Q5949A (49A): 1160, 1320, 3390, 3392; HP Q7553A (53A): P2014, P2015, M2727; CANON CRG708: LBP3300, LBP3360; CANON CRG715: LBP3310, LBP3370"
HP Q2612X (12X) & CANON CRG-703H (3.5K),3.90 USD 157.16 TL,3.90,3500,50,0,11329,"HP Q2612X (12X): 1010, 1012, 1015, 1018, 1020, 1022, 3015, 3020, 3030, 3050, 3052, 3055, M1005, M1319; CANON CRG703H: LBP2900, LBP3000"
HP Q2612A (12A) & CANON CRG-703 (2K),3.60 USD 145.07 TL,3.60,2000,100,50,11335,"HP Q2612A (12A): 1010, 1012, 1015, 1018, 1020, 1022, 3015, 3020, 3030, 3050, 3052, 3055, M1005, M1319; CANON CRG703: LBP2900, LBP3000"
HP CF413X (410X) & CANON CRG-046HM Magenta (5K),8.40 USD 338.49 TL,8.40,5000,30,2,11862,"CANON 046H M: LBP650, LBP653, LBP654, MF730, MF731, MF732, MF733, MF734, MF735; HP CF413X (410X): M377, M452, M477"
HP CF413A (410A) & CANON CRG-046M Magenta (2.3K),6.14 USD 247.42 TL,6.14,2300,20,3,11854,"HP CF413A (410A): M377, M452, M477; CANON 046M: LBP650, LBP653, LBP654, MF730, MF731, MF732, MF733, MF734, MF735"
HP CF412X (410X) & CANON CRG-046HY Yellow (5K),8.40 USD 338.49 TL,8.40,5000,30,2,11863,"CANON 046H Y: LBP650, LBP653, LBP654, MF730, MF731, MF732, MF733, MF734, MF735; HP CF412X (410X): M377, M452, M477"
HP CF412A (410A) & CANON CRG-046Y Yellow (2.3K),6.14 USD 247.42 TL,6.14,2300,5,3,11855,"HP CF412A (410A): M377, M452, M477; CANON 046Y: LBP650, LBP653, LBP654, MF730, MF731, MF732, MF733, MF734, MF735"
HP CF411X (410X) & CANON CRG-046HC Cyan (5K),8.40 USD 338.49 TL,8.40,5000,30,3,11861,"CANON 046H C: LBP650, LBP653, LBP654, MF730, MF731, MF732, MF733, MF734, MF735; HP CF411X (410X): M377, M452, M477"
HP CF411A (410A) & CANON CRG-046C Cyan (2.3K),6.14 USD 247.42 TL,6.14,2300,7,3,11853,"HP CF411A (410A): M377, M452, M477; CANON 046C: LBP650, LBP653, LBP654, MF730, MF731, MF732, MF733, MF734, MF735"
HP CF410X (410X) & CANON CRG-046HK Black (6.5K),8.40 USD 338.49 TL,8.40,6500,40,4,11860,"CANON 046H BK: LBP650, LBP653, LBP654, MF730, MF731, MF732, MF733, MF734, MF735; HP CF410X (410X): M377, M452, M477"
HP CF410A (410A) & CANON CRG-046K Black (2.3K),6.53 USD 263.14 TL,6.53,2300,100,4,11852,"HP CF410A (410A): M377, M452, M477; CANON 046BK: LBP650, LBP653, LBP654, MF730, MF731, MF732, MF733, MF734, MF735"
"HP CF403X,CF543X & CANON CRG-045H,CRG-067H Universal Magenta (2.5K)",6.53 USD 263.14 TL,6.53,2500,100,10,16876,"HP CF403X (201X): M252, M274, M277; HP CF543X (203X): M254, M280, M281; CANON 045HM: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 067HM: LBP631, LBP633, MF651, MF655, MF657"
"HP CF403A,CF543A & CANON CRG-045,CRG-054,CRG-067 Universal Magenta (1.4K)",5.60 USD 225.66 TL,5.60,1400,100,10,16868,"HP CF403A (201A): M252, M274, M277; HP CF543A (203A): M254, M280, M281; CANON 045M: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 054M: MF621, MF623, MF641, MF642, MF643, MF645; CANON 067M: LBP631, LBP633, MF651, MF655, MF657"
"HP CF402X,CF542X & CANON CRG-045H,CRG-067H Universal Yellow (2.5K)",6.53 USD 263.14 TL,6.53,2500,100,10,16875,"HP CF402X (201X): M252, M274, M277; HP CF542X (203X): M254, M280, M281; CANON 045HY: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 067HY: LBP631, LBP633, MF651, MF655, MF657"
"HP CF402A,CF542A & CANON CRG-045,CRG-054,CRG-067 Universal Yellow (1.4K)",5.60 USD 225.66 TL,5.60,1400,100,10,16867,"HP CF402A (201A): M252, M274, M277; HP CF542A (203A): M254, M280, M281; CANON 045Y: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 054Y: MF621, MF623, MF641, MF642, MF643, MF645; CANON 067Y: LBP631, LBP633, MF651, MF655, MF657"
"HP CF401X,CF541X & CANON CRG-045H,CRG-067H Universal Cyan (2.5K)",6.53 USD 263.14 TL,6.53,2500,100,10,16874,"HP CF401X (201X): M252, M274, M277; HP CF541X (203X): M254, M280, M281; CANON 045HC: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 067HC: LBP631, LBP633, MF651, MF655, MF657"
"HP CF401A,CF541A & CANON CRG-045,CRG-054,CRG-067 Universal Cyan (1.4K)",5.60 USD 225.66 TL,5.60,1400,100,20,16866,"HP CF401A (201A): M252, M274, M277; HP CF541A (203A): M254, M280, M281; CANON 045C: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 054C: MF621, MF623, MF641, MF642, MF643, MF645; CANON 067C: LBP631, LBP633, MF651, MF655, MF657"
"HP CF400X,CF540X & CANON CRG-045H,CRG-067H Universal Black (3.2K)",6.53 USD 263.14 TL,6.53,3200,100,20,16873,"HP CF400X (201X): M252, M274, M277; HP CF540X (203X): M254, M280, M281; CANON 045HBK: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 067HBK: LBP631, LBP633, MF651, MF655, MF657"
"HP CF400A,CF540A & CANON CRG-045,CRG-054,CRG-067 Universal Black (1.5K)",5.60 USD 225.66 TL,5.60,1500,100,20,16865,"HP CF400A (201A): M252, M274, M277; HP CF540A (203A): M254, M280, M281; CANON 045BK: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 054BK: MF621, MF623, MF641, MF642, MF643, MF645; CANON 067BK: LBP631, LBP633, MF651, MF655, MF657"
HP CF363X (508X) & CANON CRG-040HM Magenta (10K),16.80 USD 676.98 TL,16.80,10000,50,1,11834,"CANON CRG040H M: LBP710, LBP712; HP CF363X (508X): M552, M553, M577, E55040, MFP E57540"
HP CF363A (508A) & CANON CRG-040M Magenta (5.4K),15.87 USD 639.51 TL,15.87,5400,100,3,11830,"CANON 040 M: LBP710, LBP712; HP CF363A (508A): M552, M553, M577"
HP CF362X (508X) & CANON CRG-040HY Yellow (10K),16.80 USD 676.98 TL,16.80,10000,50,1,11835,"CANON CRG040H Y: LBP710, LBP712; HP CF362X (508X): M552, M553, M577, E55040, MFP E57540"
HP CF362A (508A) & CANON CRG-040Y Yellow (5.4K),15.87 USD 639.51 TL,15.87,5400,100,3,11831,"CANON 040 Y: LBP710, LBP712; HP CF362A (508A): M552, M553, M577"
HP CF361X (508X) & CANON CRG-040HC Cyan (10K),16.80 USD 676.98 TL,16.80,10000,50,1,11833,"CANON CRG040H C: LBP710, LBP712; HP CF361X (508X): M552, M553, M577, E55040, MFP E57540"
HP CF361A (508A) & CANON CRG-040C Cyan (5.4K),15.87 USD 639.51 TL,15.87,5400,100,4,11829,"CANON 040 C: LBP710, LBP712; HP CF361A (508A): M552, M553, M577"
HP CF360X (508X) & CANON CRG-040HK Black (12.5K),18.23 USD 734.61 TL,18.23,12500,20,1,11832,"CANON CRG040H BK: LBP710, LBP712; HP CF360X (508X): M552, M553, M577, E55040, MFP E57540"
HP CF360A (508A) & CANON CRG-040K Black (6.3K),15.87 USD 639.51 TL,15.87,6300,100,3,11828,"CANON 040 BK: LBP710, LBP712; HP CF360A (508A): M552, M553, M577"
"HP CF289Y (89Y) & CANON CRG-056H, T06 Chipsiz (20K)",16.03 USD 645.95 TL,16.03,20000,100,1,11977,"HP CF289Y (89Y): M507,M528, E50145, E52645; CANON CRG056H: LBP325, MF542, MF543, MF552, MF553; CANON T06: 1643"
HP CF289X (89X) & CANON CRG-056 Chipsiz (10K),8.69 USD 350.18 TL,8.69,10000,100,0,11195,"HP CF289X (89X): M507, M528, E50145, E52645; CANON CRG056: LBP325, MF542, MF543, MF552, MF553"
HP CF289A (89A) & CANON CRG-056L Chipsiz (5K),6.91 USD 278.45 TL,6.91,5000,100,0,11194,"HP CF289A (89A): M507, M528, E50145, E52645; CANON CRG056L: LBP325, MF542, MF543, MF552, MF553"
HP CF287X (87X) & CANON CRG-041H (20K),10.14 USD 408.61 TL,10.14,20000,30,0,11592,"CANON 041H: LBP312, MF522, MF525; HP CF287X (87X): M501, M506, M527"
HP CF287A (87A) & CANON CRG-041 (10K),7.73 USD 311.49 TL,7.73,10000,100,2,11591,"CANON CRG041: LBP312, MF522, MF525; HP CF287A (87A): M501, M506, M527"
HP CF283X (83X)& CANON CRG737 (2.4K),3.86 USD 155.54 TL,3.86,2400,100,50,15230,"HP CF283X (83X): M201, M225; CANON CRG737: LBP151, MF211, MF212, MF216, MF217, MF221, MF222, MF224, MF226, MF227, MF229, MF231, MF232, MF236, MF237, MF244, MF247, MF249"
"HP CF283A & CANON CRG 737 (1,5K)",3.67 USD 147.89 TL,3.67,1500,100,100,14896,"HP CF283A (83A): M125, M126, M127, M201, M225; CANON CRG737: LBP151, MF211, MF212, MF216, MF217, MF221, MF222, MF224, MF226, MF227, MF229, MF231, MF232, MF236, MF237, MF244, MF247, MF249"
HP CF281X & CANON CRG-039H (25K),18.61 USD 749.92 TL,18.61,25000,50,0,13200,"HP CF281X (81X): M605, M606, M625, M630; CANON 039H: LBP351, LBP352"
HP CF281A & CANON CRG-039 (11K),13.33 USD 537.15 TL,13.33,11000,50,6,13199,"HP CF281A (81A): M604, M605, M606, M625, M630; CANON 039: LBP351, LBP352"
HP CF259Y (59Y) & CANON CRG-057Y Chipsiz (18K),16.33 USD 658.04 TL,16.33,18000,10,0,16801,"HP CF259Y (59Y): M404, M428; CANON CRG057Y: LBP223, LBP226, LBP228, MF443, MF445, MF446, MF449"
HP CF259X (59X) & CANON CRG-057H & T08 Chipsiz (10K),7.73 USD 311.49 TL,7.73,10000,100,10,11193,"HP CF259X (59X): M304, M305, M404, M405, M406, M407, M430, MFP M329, MFP M428, MFP M429; CANON CRG057H: LBP223, LBP226, LBP228, LBP233, LBP236, LBP237, MF443, MF445, MF446, MF449, MF451, MF452, MF453, MF455; CANON T08: X1238"
HP CF259A (59A) & CANON CRG-057 Chipsiz (3K),5.79 USD 233.32 TL,5.79,3000,100,20,11192,"HP CF259A (59A): M304, M305, M404, M405, M406, M407, M430, MFP M329, MFP M428, MFP M429; CANON CRG057: LBP223, LBP226, LBP228, LBP233, LBP236, LBP237, MF443, MF445, MF446, MF449, MF451, MF452, MF453, MF455"
HP CF232A & CANON CRG-051 Drum Unit (23K),3.68 USD 148.29 TL,3.68,23000,40,4,12772,"HP CF232A (32A): M203, M206, M227, M230; CANON CRG051: LBP162, MF264, MF267, MF269"
HP CF230X & CANON CRG-051H (4K),4.23 USD 170.45 TL,4.23,4000,40,0,12770,"HP CF230X (30X): M203, M227; CANON CRG051H: LBP162, MF260, MF264, MF267, MF269"
"HP CF230A & CANON CRG-051 (1,7K)",3.34 USD 134.59 TL,3.34,1700,50,30,12768,"HP CF230A (30A): M203, M227; CANON CRG051: LBP162, MF260, MF264, MF267, MF269"
HP CF226X (26X) & CANON CRG-052H (9.2K),7.08 USD 285.30 TL,7.08,9200,100,10,11586,"CANON 052H BK: LBP212, LBP214, LBP215, MF421, MF424, MF426, MF428, MF429; HP CF226X (26X): M402, M426"
HP CF226A (26A) & CANON CRG-052 (3.1K),5.44 USD 219.21 TL,5.44,3100,100,20,11573,"CANON 052 BK: LBP212, LBP214, LBP215, MF421, MF424, MF426, MF428, MF429; HP CF226A (26A): M402, M426"
HP CF219A & CANON CRG-049 Drum Unit (12K),3.96 USD 159.57 TL,3.96,12000,100,20,12543,"HP CF219A (19A): M102, M104, M130, M132; CANON CRG049: LBP110, LBP112, LBP113, MF110, MF112, MF113"
HP CF217X (17X) & CANON CRG-047H (4K),6.26 USD 252.26 TL,6.26,4000,40,1,11780,"HP CF217X (17X): M102, M130, M132; CANON 047H BK: LBP110, LBP112, LBP113, MF110"
HP CF217A (17A) & CANON CRG-047 (1.6K),3.22 USD 129.76 TL,3.22,1600,100,100,11778,"HP CF217A (17A): M102, M130, M132; CANON 047 BK: LBP110, LBP112, LBP113, MF110"
"HP CE505XL,CF280XL & CRG-719HXL (10K)",10.27 USD 413.85 TL,10.27,10000,100,10,11571,"HP CE505XL: P2050, P2055; HP CF280XL: M401, M425; CANON CRG719HXL: LBP251, LBP252, LBP253, LBP6300, LBP6310, LBP6650, LBP6670, LBP6680, MF411, MF414, MF416, MF418, MF419, MF5840, MF5850, MF5880, MF5940, MF5950, MF5960, MF5980, MF6140, MF6160, MF6180; CANON EXV40: IR1133"
"HP CE505X,CF280X & CANON CRG-719H (6.9K)",5.89 USD 237.35 TL,5.89,6900,100,30,11536,"HP CE505X (05X): P2050, P2055; HP CF280X (80X): M401, M425; CANON CRG719H: LBP251, LBP252, LBP253, LBP6300, LBP6310, LBP6650, LBP6670, LBP6680, MF411, MF414, MF416, MF418, MF419, MF5840, MF5850, MF5880, MF5940, MF5950, MF5960, MF5980, MF6140, MF6160, MF6180; CANON EXV40: IR1133"
"HP CE505A,CF280A & CANON CRG-719 (2.7K)",4.92 USD 198.26 TL,4.92,2700,100,40,11534,"HP CE505A (05A): P2035, P2050, P2055; HP CF280A (80A): M401, M425; CANON CRG719: LBP251, LBP252, LBP253, LBP6300, LBP6310, LBP6650, LBP6670, LBP6680, MF411, MF414, MF416, MF418, MF419, MF5840, MF5850, MF5880, MF5940, MF5950, MF5960, MF5980, MF6140, MF6160, MF6180; CANON EXV40: IR1133"
"HP CE313A,CF353A & CANON CRG-729 Magenta (1K)",3.42 USD 137.81 TL,3.42,1000,100,2,11364,"HP CE313A (126A): CP1025, M175, M275; HP CF353A (130A): M176, M177; CANON CRG729: LBP7010, LBP7018"
"HP CE312A,CF352A & CANON CRG-729 Yellow (1K)",3.42 USD 137.81 TL,3.42,1000,100,2,11363,"HP CE312A (126A): CP1025, M175, M275; HP CF352A (130A): M176, M177; CANON CRG729: LBP7010, LBP7018"
"HP CE311A,CF351A & CANON CRG-729 Cyan (1K)",3.42 USD 137.81 TL,3.42,1000,100,5,11362,"HP CE311A (126A): CP1025, M175, M275; HP CF351A (130A): M176, M177; CANON CRG729: LBP7010, LBP7018"
"HP CE310A,CF350A & CANON CRG-729 Black (1.2K)",3.42 USD 137.81 TL,3.42,1200,100,8,11361,"HP CE310A (126A): CP1025, M175, M275; HP CF350A (130A): M176, M177; CANON CRG729: LBP7010, LBP7018"
"HP CE285A,CB435A,CB436A & CANON CRG-712,713,725 (2K)",3.55 USD 143.05 TL,3.55,2000,100,100,11514,"HP CB435A (35A): P1002, P1003, P1004, P1005, P1006, P1009; HP CB436A (36A): P1505, M1120, M1522; HP CE285A (85A): P1102, P1104, P1107, P1109, M1130, M1132, M1134, M1137, M1138, M1139, M1210, M1212, M1213, M1214, M1216, M1217. M1219; CANON CRG712: LBP3010, LBP3050, LBP3100, LBP3150; CANON CRG713: LBP3250; CANON CRG725: LBP6000, LBP6020, LBP6030, MF3010"
"HP CE278A & CRG-726, CRG-728 (2.1K)",3.48 USD 140.23 TL,3.48,2100,100,50,11340,"HP CE278A (78A): M1536, P1566, P1606; CANON CRG726: LBP6200, LBP6230, LBP6240; CANON CRG728: D530, D550, D560, L150, L170, L190, L410, MF4410, MF4412, MF4420, MF4430, MF4450, MF4550, MF4570, MF4580, MF4730, MF4750, MF4770, MF4780, MF4870, MF4890"
HP CE255X (55X) & CANON CRG-724H (12.5K),12.26 USD 494.04 TL,12.26,12500,30,9,11322,"HP CE255X (55X): M521, M525, P3010, P3015, P3016; CANON CRG724H: LBP6700, LBP6750, LBP6780, MF512, MF515"
HP CE255A (55A) & CANON CRG-724 (6K),9.82 USD 395.71 TL,9.82,6000,100,5,11321,"HP CE255A (55A): M521, M525, P3010, P3015, P3016; CANON CRG724: LBP6700, LBP6750, LBP6780, MF512, MF515"
"HP CE253A,CE403A & CANON CRG-723 Magenta (7K)",15.44 USD 622.18 TL,15.44,7000,30,1,11338,"HP CE253A (504A): CP3525, CM3530; HP CE403A (507A): M551, M570, M575; CANON CRG723: LBP5460, LBP7750, MF7750"
"HP CE252A,CE402A & CANON CRG-723 Yellow (7K)",15.44 USD 622.18 TL,15.44,7000,50,1,11337,"HP CE252A (504A): CP3525, CM3530; HP CE402A (507A): M551, M570, M575; CANON CRG723: LBP5460, LBP7750, MF7750"
"HP CE251A,CE401A & CANON CRG-723 Cyan (7K)",15.44 USD 622.18 TL,15.44,7000,50,1,11336,"HP CE251A (504A): CP3525, CM3530; HP CE401A (507A): M551, M570, M575; CANON CRG723: LBP5460, LBP7750, MF7750"
"HP CE250X,CE400X & CANON CRG-723H Black (10.5K)",19.30 USD 777.72 TL,19.30,10500,30,1,11347,"HP CE250X (504X): CP3525, CM3530; HP CE400X (507X): M551, M570, M575; CANON CRG723H: LBP5460, LBP7750, MF7750"
"HP CE250A,CE400A & CANON CRG-723 Black (5K)",15.44 USD 622.18 TL,15.44,5000,50,1,15078,"HP CE250A (504A): CP3525, CM3530; HP CE400A (507A): M551, M570, M575; CANON CRG723: LBP5460, LBP7750, MF7750"
"HP CC533A,CE413A,CF383A & CANON CRG-718 Magenta (2.8K)",6.40 USD 257.90 TL,6.40,2800,100,1,11566,"HP CC533A (304A): CM2320, CP2025; HP CE413A (305A): M351, M375, M451, M475; HP CF383A (312A): M476; CANON CRG718: LBP7200, LBP7210, LBP7660, LBP7680, MF724, MF728, MF729, MF8330, MF8340, MF8350, MF8360, MF8380, MF8540, MF8550, MF8580"
"HP CC532A,CE412A,CF382A & CANON CRG-718 Yellow (2.8K)",6.40 USD 257.90 TL,6.40,2800,100,1,11565,"HP CC532A (304A): CM2320, CP2025; HP CE412A (305A): M351, M375, M451, M475; HP CF382A (312A): M476; CANON CRG718: LBP7200, LBP7210, LBP7660, LBP7680, MF724, MF728, MF729, MF8330, MF8340, MF8350, MF8360, MF8380, MF8540, MF8550, MF8580"
"HP CC531A,CE411A,CF381A & CANON CRG-718 Cyan (2.8K)",6.40 USD 257.90 TL,6.40,2800,100,1,11564,"HP CC531A (304A): CM2320, CP2025; HP CE411A (305A): M351, M375, M451, M475; HP CF381A (312A): M476; CANON CRG718: LBP7200, LBP7210, LBP7660, LBP7680, MF724, MF728, MF729, MF8330, MF8340, MF8350, MF8360, MF8380, MF8540, MF8550, MF8580"
"HP CC530A,CE410A,CF380X & CANON CRG-718 Black (3.5K)",6.40 USD 257.90 TL,6.40,3500,100,4,11563,"HP CC530A (304A): CM2320, CP2025; HP CE410A (305A): M351, M375, M451, M475; HP CF380X (312X): M476; CANON CRG718: LBP7200, LBP7210, LBP7660, LBP7680, MF724, MF728, MF729, MF8330, MF8340, MF8350, MF8360, MF8380, MF8540, MF8550, MF8580"
"HP CB543A,CE323A,CF213A & CANON CRG-716,CRG-731 Magenta (1.4K)",6.05 USD 243.79 TL,6.05,1400,100,7,11479,"HP CB543A (125A): CP1215, CP1217, CP1515, CP1518, CM1312; HP CE323A (128A): CP1525, CM1415; HP CF213A (131A): M251, M276; CANON CRG716: LBP5050, MF8030, MF8040, MF8050, MF8080; CANON CRG731: LBP7100, LBP7110, MF623, MF624, MF628, MF8230, MF8280"
"HP CB542A,CE322A,CF212A & CANON CRG-716,CRG-731 Yellow (1.4K)",6.05 USD 243.79 TL,6.05,1400,100,20,11478,"HP CB542A (125A): CP1215, CP1217, CP1515, CP1518, CM1312; HP CE322A (128A): CP1525, CM1415; HP CF212A (131A): M251, M276; CANON CRG716: LBP5050, MF8030, MF8040, MF8050, MF8080; CANON CRG731: LBP7100, LBP7110, MF623, MF624, MF628, MF8230, MF8280"
"HP CB541A,CE321A,CF211A & CANON CRG-716,CRG-731 Cyan (1.4K)",6.05 USD 243.79 TL,6.05,1400,100,10,11477,"HP CB541A (125A): CP1215, CP1217, CP1515, CP1518, CM1312; HP CE321A (128A): CP1525, CM1415; HP CF211A (131A): M251, M276; CANON CRG716: LBP5050, MF8030, MF8040, MF8050, MF8080; CANON CRG731: LBP7100, LBP7110, MF623, MF624, MF628, MF8230, MF8280"
"HP CB540A,CE320A,CF210X & CANON CRG-716,CRG-731 Black (2.2K)",6.05 USD 243.79 TL,6.05,2200,100,10,11476,"HP CB540A (125A): CP1215, CP1217, CP1515, CM1312; HP CE320A (128A): CP1525, CM1415; HP CF210X (131X): M251, M276; CANON CRG716: LBP5050, MF8030, MF8040, MF8050, MF8080; CANON CRG731: LBP7100, LBP7110, MF623, MF624, MF628, MF8230, MF8280"
"XBox EPSON M300,MX300 (CIS050689) Yüksek Kapasite (10K)",3.75 USD 151.21 TL,3.75,10000,100,0,16854,"EPSON C13S050689, C13S050691: M300, MX300"
EPSON M4000 (S051170) (20K),"37.92 USD 1,528.05 TL",37.92,20000,30,1,15032,EPSON C13S051170: M4000
"EPSON M300,MX300 (CIS050690) (2.7K)",3.67 USD 147.89 TL,3.67,2700,7,4,11540,"EPSON C13S050690: M300, MX300"
"EPSON M300,MX300 (CIS050689) Yüksek Kapasite (10K)",4.67 USD 188.19 TL,4.67,10000,50,2,15057,"EPSON C13S050689, C13S050691: M300, MX300"
"EPSON M2400,MX20 (S050582) Yüksek Kapasite (8K)",6.26 USD 252.26 TL,6.26,8000,40,0,15065,"EPSON C13S050582: M2400, MX20"
"EPSON M220,M310 (C13S110079) (6.1K)",6.67 USD 268.78 TL,6.67,6100,7,2,11206,"EPSON C13S110079: M220, M310, M320"
EPSON M2000 (S050436) (3.5K),3.44 USD 138.62 TL,3.44,3500,40,0,15227,EPSON C13S050436: M2000
EPSON M2000 (S050435) Yüksek Kapasite (8K),3.56 USD 143.46 TL,3.56,8000,100,0,15035,EPSON C13S050435: M2000
"EPSON M200,MX200(S050709) (2.5K)",2.17 USD 87.44 TL,2.17,2500,50,1,15175,"EPSON C13S050709: M200, MX200"
"EPSON M1400,MX14 (S050650) Yüksek Kapasite (2.2K)",2.10 USD 84.62 TL,2.10,2200,30,2,11407,"EPSON C13S050650: M1400, MX14"
EPSON M1200 (S050521) Yüksek Kapasite (3.2K),8.93 USD 359.85 TL,8.93,3200,30,0,11345,EPSON C13S050521: M1200
"EPSON CX29,C2900 Yellow(S050627) (2.5K)",3.29 USD 132.58 TL,3.29,2500,2,0,11434,"EPSON C13S050627: CX29, C2900"
"EPSON CX29,C2900 Magenta(S050628) (2.5K)",3.29 USD 132.58 TL,3.29,2500,4,0,11433,"EPSON C13S050628: CX29, C2900"
"EPSON CX29,C2900 Cyan(S050629) (2.5K)",3.29 USD 132.58 TL,3.29,2500,1,0,11432,"EPSON C13S050629: CX29, C2900"
"EPSON CX17,C1700 Magenta(S050612) Yüksek Kapasite (1.4K)",3.29 USD 132.58 TL,3.29,1400,4,0,11400,"EPSON C13S050612: CX17, C1700, C1750"
"EPSON CX16,C1600 Cyan(S050556) Yüksek Kapasite (2.7K)",12.00 USD 483.56 TL,12.00,2700,1,0,11378,"EPSON C13S050556: CX16, C1600"
"EPSON CX11,C1100 Black (S050190) (4K)",11.25 USD 453.34 TL,11.25,4000,10,0,15162,"EPSON C13S050190: CX11, C1100"
PANTUM TL-5120X (15K),7.78 USD 313.51 TL,7.78,15000,100,0,14868,"PANTUM TL5120X: BP5100, BM5100"
PANTUM TL-5120H (6K),5.91 USD 238.15 TL,5.91,6000,0,0,16838,"PANTUM TL5120H: BP5100, BM5100"
PANTUM TL-500U (20K),"27.78 USD 1,119.44 TL",27.78,20000,10,0,14957,"PANTUM TL-500U: P4000, P5000, M7600"
PANTUM TL-425X (6K),5.02 USD 202.29 TL,5.02,6000,100,2,14862,"PANTUM TL425X: M7105, P3305"
PANTUM TL-425U (11K),6.96 USD 280.46 TL,6.96,11000,0,0,16881,"PANTUM TL425U: M7105, P3305"
PANTUM TL-410X (6K),4.93 USD 198.66 TL,4.93,6000,100,2,14300,"PANTUM TL410X: P3010, P3300, M6700, M6800, M6802, M7100, M7200, M7300, M7310"
PANTUM TL-410H (3K),4.73 USD 190.60 TL,4.73,3000,20,0,16886,"PANTUM TL410H: P3010, P3300, M6700, M6800, M6802, M7100, M7200, M7300, M7310"
PANTUM TL-2310H Chipsiz (1.6K),9.82 USD 395.71 TL,9.82,1600,5,0,16885,"PANTUM TL2310H: BP2300, BM2300"
PANTUM PD-219 (1.6K),8.33 USD 335.67 TL,8.33,1600,100,0,16328,"PANTUM PD219: M6509, M6559, M6609, P2509"
PANTUM PA-310X (10K),9.11 USD 367.10 TL,9.11,10000,100,0,15434,"PANTUM PA310X: P3100,P3255,P3500, P3508"
PANTUM PA-310H (6K),8.78 USD 353.80 TL,8.78,6000,50,0,16884,"PANTUM PA310H: P3100, P3200, P3205, P3225, P3255, P3405, P3500, P3502"
PANTUM PA-310 (3K),8.33 USD 335.67 TL,8.33,3000,8,0,16883,"PANTUM PA310: P3100, P3200, P3205, P3225, P3255, P3405, P3500, P3502"
PANTUM PA-210 (1.6K),5.96 USD 240.17 TL,5.96,1600,100,10,13108,"PANTUM PA-210: M6500, M6550, M6600, P2200, P2500"
PANTUM DL-5120 Drum Unit (30K),6.46 USD 260.32 TL,6.46,30000,8,0,14991,"PANTUM DL5120: BP5100, BM5100"
PANTUM DL-425X Drum Unit (25K),6.16 USD 248.23 TL,6.16,25000,100,0,16327,"PANTUM DL425X: M7105, P3305"
PANTUM CTL-2200Y Yellow (1.5K),"65.33 USD 2,632.58 TL",65.33,1500,5,0,17153,"PANTUM CTL2000Y: CM2200, CP2200"
PANTUM CTL-2200M Magenta (1.5K),"65.33 USD 2,632.58 TL",65.33,1500,5,0,17152,"PANTUM CTL2000M: CM2200, CP2200"
PANTUM CTL-2200HY Yellow (3.5K),"78.67 USD 3,170.13 TL",78.67,3500,5,0,17157,"PANTUM CTL2000HY: CM2200, CP2200"
