Urun_Kodu,Baski_Kapasitesi
16335,"2,3"
16336,"2,3"
11519,"2,5"
11520,2
11521,2
11522,2
11717,7
11718,7
12718,3
12719,"2,3"
12720,"2,3"
12721,"2,3"
12750,6
12751,"3,5"
12752,"3,5"
12753,"3,5"
14854,2
14858,"8,5"
14855,"1,4"
14859,5
14856,"1,4"
14860,5
14857,"1,4"
14861,5
11582,4
11583,3
11584,3
11585,3
14987,7
14988,7
14989,7
14990,7
15241,"2,5"
15242,2
15243,2
15244,2
15106,2
15176,6
15221,"3,5"
15119,"3,5"
15047,30
15139,9
17076,6
12593,6
17077,15
12594,15
15000,15
11526,10
17078,20
12595,20
11533,20
17079,25
12596,25
11546,25
11615,45
11509,5
12583,60
15004,"2,5"
14914,60
15009,"8,5"
12698,100
16693,150
17510,15
17512,55
11869,25
11383,"2,5"
15069,"3,5"
15045,9
15248,"2,5"
11572,9
15099,"2,5"
11574,25
15296,"3,5"
15108,"2,5"
11512,3
11513,7
16321,12
11327,6
11466,3
17129,7
11547,12
15255,3
15093,18
11480,"2,2"
11481,"1,5"
11482,"1,5"
11483,"1,5"
13162,20
11496,"3,5"
11497,2
11498,2
11499,2
15207,3
15208,3
15209,3
15265,"2,5"
15266,"2,5"
15268,"2,5"
11488,"3,5"
11489,3
11490,3
11491,3
11500,7
11501,6
11502,6
11503,6
11301,6
11302,2
11304,2
11305,8
11306,2
11307,2
11308,2
11313,6
11315,5
11316,5
11309,8
11772,8
11773,6
11774,6
11775,6
11626,"7,3"
11628,"7,3"
12700,8
12754,7
12755,"7,3"
12756,"7,3"
12757,"7,3"
14713,7
14714,7
14715,7
14716,7
12758,10
12759,10
12760,10
11484,6
11485,6
11487,6
11754,12
12548,15
12549,"11,5"
12550,"11,5"
12551,"11,5"
11769,10
11770,10
11771,10
15160,"1,5"
15200,2
15201,1
15202,1
15203,1
11556,16
15101,"1,5"
15102,1
15103,1
15104,1
15231,"2,5"
15232,"1,8"
15233,"1,8"
15234,"1,8"
15257,5
15258,5
15259,5
15274,5
11548,6
11549,"3,5"
11550,"3,5"
11551,"3,5"
11370,1
12707,15
11369,"1,5"
14937,15
12706,20
11371,1
14939,10
12708,15
11372,1
14940,10
12709,15
11756,20
11757,15
11758,15
11759,15
15159,5
15126,8
15095,12
15054,5
15094,4
11323,10
11425,"1,5"
11525,"1,5"
11397,"2,5"
15007,"1,5"
15014,"2,5"
15066,"1,5"
15068,"1,5"
15052,2
15097,"1,8"
12766,1
11594,3
15098,3
11538,"1,2"
15044,"2,5"
12585,20
12584,10
12586,10
15181,5
11797,15
12778,10
12777,5
11796,3
11558,15
11576,10
11423,5
15029,10
11344,5
17358,40
15080,40
15081,20
11552,30
15138,10
14863,30
12704,30
12705,10
14864,35
11660,25
11524,9
11560,30
15072,8
15235,3
12144,20
11642,25
11656,8
11657,5
11658,5
11659,5
11652,"1,5"
11653,1
11654,1
11655,1
15153,3
15131,3
15185,3
12990,"13,7"
12196,3
12809,3
17096,3
16730,3
17097,6
16760,6
17193,3
17194,8
17195,20
17197,3
17198,"2,5"
17199,"2,5"
17200,"2,5"
12810,9
12811,3
12812,3
12813,3
11422,"2,3"
15107,"1,5"
12589,10
11590,3
15018,4
15049,"2,5"
15249,3
15021,5
11346,4
11388,8
12590,5
15071,11
11666,"8,5"
11667,15
12798,30
12826,4
12827,10
11650,14
11605,"5,9"
11600,"14,1"
15228,10
11403,2
11404,1
11405,1
11406,1
11595,2
11596,1
11597,1
11598,1
15216,1
15217,1
15218,1
11456,"2,5"
15261,"2,5"
15262,"1,9"
15263,"1,9"
15264,"1,9"
11471,3
11472,"2,5"
11473,"2,5"
11474,"2,5"
11741,"5,5"
11742,"2,4"
11743,"2,4"
11744,"2,4"
11629,8
11630,6
11631,6
11632,6
11384,5
11385,"4,5"
11386,"4,5"
11387,"4,5"
11417,"17,8"
11419,"17,8"
15115,"24,6"
13062,31
15236,3
11348,"4,1"
15229,5
16856,11
11651,11
11535,25
15177,30
15186,30
14869,32
12552,12
12553,"7,5"
12554,"7,5"
12555,"7,5"
12710,22
12711,15
12712,15
12713,15
12724,16
12725,16
15070,3
15012,10
11856,12
12177,12
11735,12
11798,12
12763,12
16718,25
11888,30
12501,50
15026,"1,5"
15028,"2,5"
15030,700
15033,"2,6"
15031,"2,6"
15051,"2,6"
12453,3
15224,"2,2"
15223,"2,5"
15225,"2,2"
15226,"2,2"
12804,3
12805,"2,3"
12806,"2,3"
12807,"2,3"
11866,8
15039,8
11893,8
11894,12
17421,20
16440,3
16441,3
16442,3
16443,3
16445,"6,5"
16444,"6,5"
16446,"6,5"
16447,"6,5"
17113,"2,1"
17109,"2,1"
17114,"1,9"
17110,"1,9"
17121,"7,6"
17117,"7,6"
17122,"5,5"
17118,"5,5"
17123,"5,5"
17119,"5,5"
17124,"5,5"
17120,"5,5"
17115,"1,9"
17111,"1,9"
17116,"1,9"
17112,"1,9"
16826,3
16323,3
16828,"10,2"
16324,10
16832,"1,2"
16834,"2,5"
16717,"2,5"
11633,"2,2"
11634,"1,4"
11635,"1,4"
11636,"1,4"
11228,10
11788,"3,5"
11789,"2,8"
11790,"2,8"
11791,"2,8"
12850,5
11928,"10,5"
12851,7
12852,7
12853,7
15042,6
11233,"12,5"
15127,"2,1"
15076,"1,6"
11792,"1,2"
11793,1
11794,1
11795,1
12573,14
15134,"2,7"
15180,"6,9"
11644,10
16850,7
16851,"7,3"
16852,"7,3"
16853,"7,3"
11779,"1,6"
12574,12
11532,"3,1"
15121,"9,2"
12769,"1,7"
12771,4
13095,23
15124,"2,3"
12803,"9,2"
14754,3
12466,3
14755,10
12467,10
16802,18
14897,"1,5"
15154,"2,4"
12799,10
12800,20
17080,5
12802,10
12818,20
14983,"6,3"
14984,"5,4"
14985,"5,4"
14986,"5,4"
16869,"1,5"
16877,"3,2"
16870,"1,4"
16878,"2,5"
16871,"1,4"
16879,"2,5"
16872,"1,4"
16880,"2,5"
11812,"2,3"
11903,"6,5"
11813,"2,3"
11904,5
11815,"2,3"
11906,5
11814,"2,3"
11905,5
15158,2
15174,3
11956,7
12829,"2,5"
11777,1
11901,1
16841,"2,5"
12780,"2,5"
14752,5
12825,5
16829,5
16830,15
17133,30
17091,"1,15"
16938,1
16937,1
16863,"3,05"
16862,"3,05"
16864,"9,7"
16861,"2,5"
16936,5
13163,"2,4"
16763,"2,4"
17134,"7,5"
13167,"7,5"
13164,"2,1"
16764,"2,1"
13168,6
17135,6
13165,"2,1"
16765,"2,1"
13169,6
17136,6
13166,"2,1"
16766,"2,1"
13170,6
17137,6
14953,1
14927,1
14954,700
14928,700
14955,700
14929,700
14956,700
14930,700
15199,"3,5"
12831,30
11326,10
11616,20
11637,25
17087,45
15297,5
16376,60
11239,"2,5"
11240,"8,5"
16778,100
11328,25
15247,9
11675,"2,5"
12575,25
17128,3
11895,7
17132,12
11740,3
17130,7
17131,12
16998,18
11816,"2,2"
11817,"1,5"
11818,"1,5"
11819,"1,5"
11896,"3,5"
11897,2
11898,2
11899,2
16857,"3,5"
16858,3
16859,3
16860,3
17183,12
17184,25
16835,30
16689,"1,6"
16887,3
16836,6
16882,11
16837,6
16839,6
16840,15
12819,"1,5"
12820,1
12821,1
12822,1
15188,3
15189,3
17098,5
14931,4
11396,"1,5"
11394,"1,5"
15220,"2,5"
15281,"1,5"
15282,"2,5"
11381,"1,5"
15219,"1,5"
12854,2
12989,"1,8"
12703,1
12686,3
11408,3
11409,"1,2"
12588,10
11415,5
11424,15
11238,10
11900,5
11426,3
11436,15
11527,10
11465,5
17357,5
11867,9
11865,30
12855,3
17138,"1,5"
17139,1
17140,1
17141,1
16337,3
14935,3
12849,"2,3"
15088,"1,5"
14960,10
11343,3
11382,"2,5"
12830,"8,5"
12832,15
17000,30
12857,"4,1"
11475,5
12856,3
16326,12
17150,"1,5"
17151,"1,5"
17154,"3,5"
17155,"3,5"
17156,"3,5"
17157,"3,5"
17152,"1,5"
17153,"1,5"
16327,25
14991,30
13108,"1,6"
16883,3
16884,6
15434,10
16328,"1,6"
16885,"1,6"
16886,3
14300,6
16881,11
14862,6
14957,20
16838,6
14868,15
15162,4
11378,"2,7"
11400,"1,4"
11432,"2,5"
11433,"2,5"
11434,"2,5"
11345,"3,2"
11407,"2,2"
15175,"2,5"
15035,8
15227,"3,5"
11206,"6,1"
15065,8
15057,10
11540,"2,7"
15032,20
16854,10
