urun_adi,Fiyat_str,gelis_fiyati_usd,baski_kapasitesi,stok,kendi_depomuz,stok_kodu,yazici_uyumluluk_listesi
BROTHER DR-261 (265) Black Drum Unit (15K),11.38 USD 453.02 TL,11.38,15000,2,0,17092,"BROTHER DR261BK: HL3140, HL3150, HL3170, HL3180, DCP9015, DCP9020, MFC9130, MFC9140, MFC9330, MFC9340"
BROTHER DR-261 (265) Cyan Drum Unit (15K),11.38 USD 453.02 TL,11.38,15000,2,0,17093,"BROTHER DR261C: HL3140, HL3150, HL3170, HL3180, DCP9015, DCP9020, MFC9130, MFC9140, MFC9330, MFC9340"
BROTHER DR-261 (265) Magenta Drum Unit (15K),11.38 USD 453.02 TL,11.38,15000,3,0,17094,"BROTHER DR261M: HL3140, HL3150, HL3170, HL3180, DCP9015, DCP9020, MFC9130, MFC9140, MFC9330, MFC9340"
BROTHER DR-273CL-BK Black Drum Unit (18K),8.89 USD 353.89 TL,8.89,18000,50,0,12995,"BROTHER DR273CL-BK: HL-L3210,L3230,L3270,L3280, MFC-L3250,L3710,L3730,L3740,L3750,L3770, DCP-L3510,L3550,L3551"
BROTHER DR-273CL-CMY Color Drum Unit (18K),8.89 USD 353.89 TL,8.89,18000,100,1,12996,"BROTHER DR273CL-CMY: HL-L3210,L3230,L3270,L3280, MFC-L3250,L3710,L3730,L3740,L3750,L3770, DCP-L3510,L3550,L3551"
"BROTHER DR-3115,DR-3215 Drum Unit (25K)",7.33 USD 291.79 TL,7.33,25000,50,3,15022,"BROTHER DR3115: HL5240, HL5250, HL5270, HL5280, DCP8060, DCP8065, MFC8460, MFC8470, MFC8660, MFC8670, MFC8860, MFC8870; BROTHER DR3215: HL5340, HL5350, HL5370, HL5380, DCP8070, DCP8080, DCP8085, MFC8370, MFC8380, MFC8480, MFC8680, MTF8690, MFC8880, MFC8890; KONICA MINOLTA A32W021: Bizhub 20"
BROTHER DR-3355 Drum Unit (30K),6.04 USD 240.44 TL,06.04,30000,30,1,15067,"BROTHER DR3355: HL5440, HL5450, HL5470, HL6180, DCP8110, DCP8150, DCP8155, DCP8250, MFC8510, MFC8520, MFC8710, MFC8810, MFC8910, MFC8950"
BROTHER DR-3405 (820) Drum Unit (50K),6.17 USD 245.62 TL,6.17,50000,100,4,15001,"BROTHER DR3405: HLL5000, HLL5100, HLL5200, HLL6200, HLL6250, HLL6300, HLL6400, DCPL5500, DCPL5600, DCPL5650, DCPL6600, MFCL5700, MFCL5750, MFCL5755, MFCL5800, MFCL5850, MFCL5900, MFCL6700, MFCL6750, MFCL6800, MFCL6900"
BROTHER DR-3607 Drum Unit (With Chip) (75K),15.52 USD 617.82 TL,15.52,75000,10,0,16761,"BROTHER DR3607: HL-L5210, HL-L6210, HL-L6410, MFC-L5710, MFC-L5715, MFC-L6710, MFC-L6910, DCP-L5510"
"BROTHER TN-1040 (1000,1020) (1.5K)",2.24 USD 89.17 TL,2.24,1500,100,50,11339,"BROTHER TN1040: HL1110, HL1111, HL1112, HL1210, HL1211, HL1212, DCP1510, DCP1511, DCP1512, DCP1610, DCP1612, MFC1810, MFC1811, MFC1815, MFC1910, MFC 1911"
BROTHER TN-2025 (2.5K),4.04 USD 160.82 TL,04.04,2500,20,2,15157,"BROTHER TN2025: HL2030, HL2040, HL2070, DCP7010, DCP7020, DCP7025, DCP7420, FAX2820, FAX2825, FAX2910, FAX2920, MFC7220, MFC7225, MFC7420, MFC7820"
BROTHER TN-2060 (0.7K),3.14 USD 125.00 TL,3.14,700,100,1,15087,"BROTHER TN2060: HL2130, HL2132, HL2135, DCP7055"
"BROTHER TN-2150 (360,2120,2125) Yüksek Kapasite (2.6K)",4.72 USD 187.89 TL,4.72,2600,100,2,15129,"BROTHER TN2150 (TN2130): HL2120, HL2140, HL2150, HL2170, DCP7030, DCP7040, DCP7045, MFC7320, MFC7340, MFC7345, MFC7440, MFC7450, MFC7480, MFC7840"
"BROTHER TN-2280 (450,2220) Yüksek Kapasite (2.6K)",3.61 USD 143.71 TL,3.61,2600,100,10,11373,"BROTHER TN2280 (TN2260): HL2220, HL2230, HL2240, HL2242, HL2250, HL2270, HL2275, HL2280, HL2800, DCP7060, DCP7065, DCP7070, FAX2840, FAX2845, FAX2940, FAX2950, MFC7240, MFC7360, MFC7365, MFC7460, MFC7860"
BROTHER TN-2355 (630) Yüksek Kapasite (2.6K),3.26 USD 129.77 TL,3.26,2600,100,10,11599,"BROTHER TN2355 (TN2305): HLL2300, HLL2305, HLL2320, HLL2340, HLL2360, HLL2365, HLL2380, DCPL2500, DCPL2520, DCPL2540, DCPL2560, MFCL2685, MFCL2700, MFCL2703, MFCL2705, MFCL2720, MFCL2740"
"BROTHER TN-240C (210C,230C) Cyan (1.4K)",5.83 USD 232.08 TL,5.83,1400,20,0,11354,"BROTHER TN240C: HL3040, HL3045, HL3070, HL3075, DCP9010, MFC9010, MFC9120, MFC9125, MFC9320, MFC9325"
"BROTHER TN-240K (210K,230K) Black (2.2K)",5.83 USD 232.08 TL,5.83,2200,40,1,11353,"BROTHER TN240BK: HL3040, HL3045, HL3070, HL3075, DCP9010, MFC9010, MFC9120, MFC9125, MFC9320, MFC9325"
"BROTHER TN-240M (210M,230M) Magenta (1.4K)",5.83 USD 232.08 TL,5.83,1400,20,0,11355,"BROTHER TN240M: HL3040, HL3045, HL3070, HL3075, DCP9010, MFC9010, MFC9120, MFC9125, MFC9320, MFC9325"
"BROTHER TN-240Y (210Y,230Y) Yellow (1.4K)",5.83 USD 232.08 TL,5.83,1400,20,1,11356,"BROTHER TN240Y: HL3040, HL3045, HL3070, HL3075, DCP9010, MFC9010, MFC9120, MFC9125, MFC9320, MFC9325"
BROTHER TN-2456 (3K),3.67 USD 146.10 TL,3.67,3000,100,40,15155,"BROTHER TN2456: HL-L2316, HL-L2350, HL-L2351, HL-L2370, HL-L2375, HL-L2376, HL-L2385, HL-L2386, DCP-L2351, DCP-2535, DCP-L2550, DCP-L2395, MFC-L2710, MFC-L2713, MFC-L2715, MFC-L2716, MFC-L2750, MFC-L2751, MFC-L2770, MFC-L2771"
BROTHER TN-261K Black (2.5K),4.11 USD 163.61 TL,4.11,2500,40,1,11515,"BROTHER TN261BK: HL3140, HL3150, HL3170, HL3180, DCP9015, DCP9020, MFC9130, MFC9140, MFC9330, MFC9340"
BROTHER TN-265C (261XL) Cyan Yüksek Kapasite (2.2K),4.36 USD 173.56 TL,4.36,2200,9,2,11516,"BROTHER TN265C (TN261C): HL3140, HL3150, HL3170, HL3180, DCP9015, DCP9020, MFC9130, MFC9140, MFC9330, MFC9340"
BROTHER TN-265M (261XL) Magenta Yüksek Kapasite (2.2K),4.36 USD 173.56 TL,4.36,2200,10,1,11517,"BROTHER TN265M (TN261M): HL3140, HL3150, HL3170, HL3180, DCP9015, DCP9020, MFC9130, MFC9140, MFC9330, MFC9340"
BROTHER TN-265Y (261XL) Yellow Yüksek Kapasite (2.2K),4.36 USD 173.56 TL,4.36,2200,10,1,11518,"BROTHER TN265Y (TN261Y): HL3140, HL3150, HL3170, HL3180, DCP9015, DCP9020, MFC9130, MFC9140, MFC9330, MFC9340"
BROTHER TN-277 Black (3K),4.67 USD 185.90 TL,4.67,3000,100,5,11870,"BROTHER TN277BK (TN273BK): HL-L3210,L3230,L3270,L3280 - MFC-L3250,L3710,L3730,L3740,L3750,L3770 - DCP-L3510,L3550,L3551"
BROTHER TN-277 Cyan (2.3K),4.67 USD 185.90 TL,4.67,2300,100,3,11871,"BROTHER TN277C (TN273C): HL-L3210,L3230,L3270,L3280 - MFC-L3250,L3710,L3730,L3740,L3750,L3770 - DCP-L3510,L3550,L3551"
BROTHER TN-277 Magenta (2.3K),4.67 USD 185.90 TL,4.67,2300,100,3,11872,"BROTHER TN277M (TN273M): HL-L3210,L3230,L3270,L3280 - MFC-L3250,L3710,L3730,L3740,L3750,L3770 - DCP-L3510,L3550,L3551"
BROTHER TN-277 Yellow (2.3K),4.67 USD 185.90 TL,4.67,2300,100,2,11873,"BROTHER TN277Y (TN273Y): HL-L3210,L3230,L3270,L3280 - MFC-L3250,L3710,L3730,L3740,L3750,L3770 - DCP-L3510,L3550,L3551"
"BROTHER TN-3060,6600,7600 Yüksek Kapasite (6.7K)",7.22 USD 287.41 TL,7.22,6700,4,0,15132,"BROTHER TN3060 (TN3030): HL5130, HL5140, HL5150, HL5170, DCP8040, DCP8045, MFC8120, MFC8220, MFC8440, MFC8640, MFC8840; BROTHER TN6600 (TN6300): HL1030, HL1230, HL1240, HL1250, HL1270, HL1430, HL1435, HL1440, HL1450, HL1470, HLP2500, FAX4100, FAX4750, FAX5750, FAX8350, FAX8360, FAX8750, MFC8300, MFC8500, MFC8600, MFC8700, MFC9600, MFC9650, MFC9660, MFC9700, MFC9750, MFC9760, MFC9800, MFC9850, MFC9860, MFC9870, MFC9880, MFCP2500; BROTHER TN7600 (TN7300): HL1640, HL1650, HL1670, HL1850, HL1870, HL5030, HL5040, HL5050, HL5070, DCP8020, DCP8025, MFC8420, MFC8820"
"BROTHER TN-3145,3250 (3.5K)",5.17 USD 205.81 TL,5.17,3500,50,3,11374,"BROTHER TN3145: HL5240, HL5250, HL5270, HL5280, DCP8060, DCP8065, MFC8460, MFC8470, MFC8660, MFC8670, MFC8860, MFC8870; BROTHER TN3250: HL5340, HL5350, HL5370, HL5380, DCP8070, DCP8080, DCP8085, MFC8370, MFC8380, MFC8480, MFC8680, MTF8690, MFC8880, MFC8890"
"BROTHER TN-3185,3290 Yüksek Kapasite (8K)",5.54 USD 220.54 TL,5.54,8000,50,0,15017,"BROTHER TN3185: HL5240, HL5250, HL5270, HL5280, DCP8060, DCP8065, MFC8460, MFC8470, MFC8660, MFC8670, MFC8860, MFC8870; BROTHER TN3290: HL5340, HL5350, HL5370, HL5380, DCP8070, DCP8080, DCP8085, MFC8370, MFC8380, MFC8480, MFC8680, MTF8690, MFC8880, MFC8890; KONICA MINOLTA A32W021: Bizhub 20"
"BROTHER TN-3350 (750,3380) Yüksek Kapasite (8K)",5.96 USD 237.26 TL,5.96,8000,100,2,11462,"BROTHER TN3350 (TN3320): HL5440, HL5450, HL5470, HL6180, DCP8110, DCP8150, DCP8155, DCP8250, MFC8510, MFC8520, MFC8710, MFC8810, MFC8910, MFC8950"
"BROTHER TN-3370 (780,3390) Ekstra Yüksek Kapasite (12K)",10.00 USD 398.08 TL,10.00,12000,0,0,15113,"BROTHER TN3370: HL6180, DCP8155, DCP8250, MFC8910, MFC8950"
BROTHER TN-3437 Yüksek Kapasite (8K),5.85 USD 232.88 TL,5.85,8000,100,4,11411,"BROTHER TN3437: HLL5000, HLL5100, HLL5200, HLL6200, HLL6250, HLL6300, HLL6400, DCPL5500, DCPL5600, DCPL5650, DCPL6600, MFCL5700, MFCL5750, MFCL5755, MFCL5800, MFCL5850, MFCL5900, MFCL6700, MFCL6750, MFCL6800, MFCL6900"
BROTHER TN-345C Cyan (3.5K),5.50 USD 218.94 TL,5.50,3500,20,0,11451,"BROTHER TN345C (TN340C): HL4140, HL4150, HL4570, DCP9050, DCP9055, DCP9270, MFC9460, MFC9465, MFC9560, MFC9970"
"BROTHER TN-345K,348K,369K,361K Black Yüksek Kapasite (6K)",5.50 USD 218.94 TL,5.50,6000,30,1,11450,"BROTHER TN348BK: HL4140, HL4150, HL4570, DCP9050, DCP9055, DCP9270, MFC9460, MFC9465, MFC9560, MFC9970; BROTHER TN369BK: HLL8250, HLL8350, DCPL8400, DCPL8450, MFCL8600, MFCL8650"
BROTHER TN-345M Magenta (3.5K),5.50 USD 218.94 TL,5.50,3500,30,0,11452,"BROTHER TN345M (TN340M): HL4140, HL4150, HL4570, DCP9050, DCP9055, DCP9270, MFC9460, MFC9465, MFC9560, MFC9970"
BROTHER TN-345Y Yellow (3.5K),5.50 USD 218.94 TL,5.50,3500,20,0,11453,"BROTHER TN345Y (TN340Y): HL4140, HL4150, HL4570, DCP9050, DCP9055, DCP9270, MFC9460, MFC9465, MFC9560, MFC9970"
BROTHER TN-3467 Extra Yüksek Kapasite (12K),6.22 USD 247.61 TL,6.22,12000,100,3,11412,"BROTHER TN3467: HLL5000, HLL5100, HLL5200, HLL6200, HLL6250, HLL6300, HLL6400, DCPL5500, DCPL5600, DCPL5650, DCPL6600, MFCL5700, MFCL5750, MFCL5755, MFCL5800, MFCL5850, MFCL5900, MFCL6700, MFCL6750, MFCL6800, MFCL6900"
BROTHER TN-3487 Ekstra Yüksek Kapasite (20K),8.96 USD 356.68 TL,8.96,20000,40,0,17420,"BROTHER TN3487: HLL6400, HLL6450, MFCL6900"
"BROTHER TN-348C,345C,369C,361C Cyan (6K)",10.42 USD 414.80 TL,10.42,6000,10,0,11579,"BROTHER TN348C: HL4140, HL4150, HL4570, DCP9050, DCP9055, DCP9270, MFC9460, MFC9465, MFC9560, MFC9970; BROTHER TN369C: HLL8250, HLL8350, DCPL8400, DCPL8450, MFCL8600, MFCL8650"
"BROTHER TN-348M,345M,369M,361M Magenta (6K)",10.42 USD 414.80 TL,10.42,6000,10,0,11580,"BROTHER TN348M: HL4140, HL4150, HL4570, DCP9050, DCP9055, DCP9270, MFC9460, MFC9465, MFC9560, MFC9970; BROTHER TN369M: HLL8250, HLL8350, DCPL8400, DCPL8450, MFCL8600, MFCL8650"
"BROTHER TN-348Y,345Y,369Y,361Y Yellow (6K)",10.42 USD 414.80 TL,10.42,6000,10,0,11581,"BROTHER TN348Y: HL4140, HL4150, HL4570, DCP9050, DCP9055, DCP9270, MFC9460, MFC9465, MFC9560, MFC9970; BROTHER TN369Y: HLL8250, HLL8350, DCPL8400, DCPL8450, MFCL8600, MFCL8650"
BROTHER TN-3607 (3K),8.83 USD 351.51 TL,8.83,3000,50,0,16756,"BROTHER TN3607: HL-L5210, HL-L6210, HL-L6410, MFC-L5710, MFC-L5715, MFC-L6710, MFC-L6910, DCP-L5510"
BROTHER TN-3607XXL Yüksek Kapasite (11K),10.12 USD 402.86 TL,10.12,11000,100,0,16757,"BROTHER TN3607XXL: HL-L5210, HL-L6210, HL-L6410, MFC-L5710, MFC-L5715, MFC-L6710, MFC-L6910, DCP-L5510"
BROTHER TN-3617 (18K),12.92 USD 514.32 TL,12.92,18000,0,0,17086,"BROTHER TN3617: HL-L5210, HL-L6210, HL-L6410, MFC-L5710, MFC-L5715, MFC-L6710, MFC-L6910, DCP-L5510"
BROTHER TN-3617XL Yüksek Kapasite (25K),15.56 USD 619.41 TL,15.56,25000,0,0,16758,"BROTHER TN3617XL: HL-L6210, HL-L6410, MFC-L6710, MFC-L6910"
BROTHER TN-461C Cyan (3K),5.41 USD 215.36 TL,5.41,3000,100,5,11821,"BROTHER TN461C: DCP-L8410, HL-L8260, HL-L8360, MFC-L8690, MFC-L8900"
BROTHER TN-461K Black (3K),5.41 USD 215.36 TL,5.41,3000,100,10,11820,"BROTHER TN461K: DCP-L8410, HL-L8260, HL-L8360, MFC-L8690, MFC-L8900"
BROTHER TN-461M Magenta (3K),5.41 USD 215.36 TL,5.41,3000,100,4,11822,"BROTHER TN461M: DCP-L8410, HL-L8260, HL-L8360, MFC-L8690, MFC-L8900"
BROTHER TN-461Y Yellow (3K),5.41 USD 215.36 TL,5.41,3000,100,5,11823,"BROTHER TN461Y: DCP-L8410, HL-L8260, HL-L8360, MFC-L8690, MFC-L8900"
BROTHER TN-466C Cyan (6.5K),7.08 USD 281.84 TL,07.08,6500,50,2,11825,"BROTHER TN466C: DCP-L8410, HL-L8260, HL-L8360, MFC-L8690, MFC-L8900"
BROTHER TN-466K Black (6.5K),5.35 USD 212.97 TL,5.35,6500,100,2,11824,"BROTHER TN466K: DCP-L8410, HL-L8260, HL-L8360, MFC-L8690, MFC-L8900"
BROTHER TN-466M Magenta (6.5K),7.08 USD 281.84 TL,07.08,6500,50,1,11826,"BROTHER TN466M: DCP-L8410, HL-L8260, HL-L8360, MFC-L8690, MFC-L8900"
BROTHER TN-466Y Yellow (6.5K),7.08 USD 281.84 TL,07.08,6500,50,2,11827,"BROTHER TN466Y: DCP-L8410, HL-L8260, HL-L8360, MFC-L8690, MFC-L8900"
BROTHER TN-871BK Black Chipli (9K),23.33 USD 928.72 TL,23.33,9000,40,0,16789,"BROTHER TN871BK: HLL9430, MFCL9630"
BROTHER TN-871C Cyan Chipli (6.5K),23.33 USD 928.72 TL,23.33,6500,50,0,16790,"BROTHER TN871C: HLL9430, MFCL9630"
BROTHER TN-871M Magenta Chipli (6.5K),23.33 USD 928.72 TL,23.33,6500,50,0,16791,"BROTHER TN871M: HLL9430, MFCL9630"
BROTHER TN-871XLBK Black Yüksek Kapasite Chipli (12K),25.00 USD 995.20 TL,25.00,12000,4,0,16793,"BROTHER TN871XLBK: HLL9430, MFCL9630"
BROTHER TN-871XLC Cyan Yüksek Kapasite Chipli (9K),25.00 USD 995.20 TL,25.00,9000,8,0,16794,"BROTHER TN871XLC: HLL9430, MFCL9630"
BROTHER TN-871XLM Magenta Yüksek Kapasite Chipli (9K),25.00 USD 995.20 TL,25.00,9000,8,0,16795,"BROTHER TN871XLM: HLL9430, MFCL9630"
BROTHER TN-871XLY Yellow Yüksek Kapasite Chipli (9K),25.00 USD 995.20 TL,25.00,9000,7,0,16796,"BROTHER TN871XLY: HLL9430, MFCL9630"
BROTHER TN-871Y Yellow Chipli (6.5K),23.33 USD 928.72 TL,23.33,6500,50,0,16792,"BROTHER TN871Y: HLL9430, MFCL9630"
HP C4096A (96A) (5K),9.50 USD 378.18 TL,9.50,5000,20,0,15111,"HP C4096A (96A): 2100, 2200; CANON EP32: LBP32X, LBP470, LBP1000, LBP1310, P100"
"HP C7115A,Q2613A,Q2624A (2.5K)",5.54 USD 220.54 TL,5.54,2500,30,6,15048,"HP C7115A (15A): 1000, 1005, 1200, 1220, 3300, 3310, 3320, 3330, 3380; HP Q2613A (13A): 1300; HP Q2624A (24A): 1150"
"HP CB540A,CE320A,CF210X & CANON CRG-716,CRG-731 Black (2.2K)",6.05 USD 240.84 TL,06.05,2200,100,10,11476,"HP CB540A (125A): CP1215, CP1217, CP1515, CM1312; HP CE320A (128A): CP1525, CM1415; HP CF210X (131X): M251, M276; CANON CRG716: LBP5050, MF8030, MF8040, MF8050, MF8080; CANON CRG731: LBP7100, LBP7110, MF623, MF624, MF628, MF8230, MF8280"
"HP CB541A,CE321A,CF211A & CANON CRG-716,CRG-731 Cyan (1.4K)",6.05 USD 240.84 TL,06.05,1400,100,20,11477,"HP CB541A (125A): CP1215, CP1217, CP1515, CP1518, CM1312; HP CE321A (128A): CP1525, CM1415; HP CF211A (131A): M251, M276; CANON CRG716: LBP5050, MF8030, MF8040, MF8050, MF8080; CANON CRG731: LBP7100, LBP7110, MF623, MF624, MF628, MF8230, MF8280"
"HP CB542A,CE322A,CF212A & CANON CRG-716,CRG-731 Yellow (1.4K)",6.05 USD 240.84 TL,06.05,1400,100,20,11478,"HP CB542A (125A): CP1215, CP1217, CP1515, CP1518, CM1312; HP CE322A (128A): CP1525, CM1415; HP CF212A (131A): M251, M276; CANON CRG716: LBP5050, MF8030, MF8040, MF8050, MF8080; CANON CRG731: LBP7100, LBP7110, MF623, MF624, MF628, MF8230, MF8280"
"HP CB543A,CE323A,CF213A & CANON CRG-716,CRG-731 Magenta (1.4K)",6.05 USD 240.84 TL,06.05,1400,100,10,11479,"HP CB543A (125A): CP1215, CP1217, CP1515, CP1518, CM1312; HP CE323A (128A): CP1525, CM1415; HP CF213A (131A): M251, M276; CANON CRG716: LBP5050, MF8030, MF8040, MF8050, MF8080; CANON CRG731: LBP7100, LBP7110, MF623, MF624, MF628, MF8230, MF8280"
"HP CC364A,CE390A (10K)",11.81 USD 470.13 TL,11.81,10000,100,5,15161,"HP CC364A (64A): P4014, P4015, P4515; HP CE390A (90A): M601, M602, M603, M4555"
"HP CC364X,CE390X (24K)",17.22 USD 685.50 TL,17.22,24000,30,7,11325,"HP CC364X (64X): P4015, P4515; HP CE390X (90X): M602, M603, M4555"
"HP CC530A,CE410A,CF380X & CANON CRG-718 Black (3.5K)",6.40 USD 254.77 TL,6.40,3500,100,5,11563,"HP CC530A (304A): CM2320, CP2025; HP CE410A (305A): M351, M375, M451, M475; HP CF380X (312X): M476; CANON CRG718: LBP7200, LBP7210, LBP7660, LBP7680, MF724, MF728, MF729, MF8330, MF8340, MF8350, MF8360, MF8380, MF8540, MF8550, MF8580"
"HP CC531A,CE411A,CF381A & CANON CRG-718 Cyan (2.8K)",6.40 USD 254.77 TL,6.40,2800,100,2,11564,"HP CC531A (304A): CM2320, CP2025; HP CE411A (305A): M351, M375, M451, M475; HP CF381A (312A): M476; CANON CRG718: LBP7200, LBP7210, LBP7660, LBP7680, MF724, MF728, MF729, MF8330, MF8340, MF8350, MF8360, MF8380, MF8540, MF8550, MF8580"
"HP CC532A,CE412A,CF382A & CANON CRG-718 Yellow (2.8K)",6.40 USD 254.77 TL,6.40,2800,100,2,11565,"HP CC532A (304A): CM2320, CP2025; HP CE412A (305A): M351, M375, M451, M475; HP CF382A (312A): M476; CANON CRG718: LBP7200, LBP7210, LBP7660, LBP7680, MF724, MF728, MF729, MF8330, MF8340, MF8350, MF8360, MF8380, MF8540, MF8550, MF8580"
"HP CC533A,CE413A,CF383A & CANON CRG-718 Magenta (2.8K)",6.40 USD 254.77 TL,6.40,2800,100,2,11566,"HP CC533A (304A): CM2320, CP2025; HP CE413A (305A): M351, M375, M451, M475; HP CF383A (312A): M476; CANON CRG718: LBP7200, LBP7210, LBP7660, LBP7680, MF724, MF728, MF729, MF8330, MF8340, MF8350, MF8360, MF8380, MF8540, MF8550, MF8580"
"HP CE250A,CE400A & CANON CRG-723 Black (5K)",15.44 USD 614.64 TL,15.44,5000,50,1,15078,"HP CE250A (504A): CP3525, CM3530; HP CE400A (507A): M551, M570, M575; CANON CRG723: LBP5460, LBP7750, MF7750"
"HP CE250X,CE400X & CANON CRG-723H Black (10.5K)",19.30 USD 768.30 TL,19.30,10500,30,1,11347,"HP CE250X (504X): CP3525, CM3530; HP CE400X (507X): M551, M570, M575; CANON CRG723H: LBP5460, LBP7750, MF7750"
"HP CE251A,CE401A & CANON CRG-723 Cyan (7K)",15.44 USD 614.64 TL,15.44,7000,50,1,11336,"HP CE251A (504A): CP3525, CM3530; HP CE401A (507A): M551, M570, M575; CANON CRG723: LBP5460, LBP7750, MF7750"
"HP CE252A,CE402A & CANON CRG-723 Yellow (7K)",15.44 USD 614.64 TL,15.44,7000,50,1,11337,"HP CE252A (504A): CP3525, CM3530; HP CE402A (507A): M551, M570, M575; CANON CRG723: LBP5460, LBP7750, MF7750"
"HP CE253A,CE403A & CANON CRG-723 Magenta (7K)",15.44 USD 614.64 TL,15.44,7000,40,1,11338,"HP CE253A (504A): CP3525, CM3530; HP CE403A (507A): M551, M570, M575; CANON CRG723: LBP5460, LBP7750, MF7750"
HP CE255A (55A) & CANON CRG-724 (6K),9.82 USD 390.92 TL,9.82,6000,100,7,11321,"HP CE255A (55A): M521, M525, P3010, P3015, P3016; CANON CRG724: LBP6700, LBP6750, LBP6780, MF512, MF515"
HP CE255X (55X) & CANON CRG-724H (12.5K),12.26 USD 488.05 TL,12.26,12500,30,9,11322,"HP CE255X (55X): M521, M525, P3010, P3015, P3016; CANON CRG724H: LBP6700, LBP6750, LBP6780, MF512, MF515"
HP CE260A (647A) Black (8.5K),17.50 USD 696.64 TL,17.50,8500,10,0,11357,"HP CE260A (647A): CP4025, CP4525, CM4540"
HP CE260X (649X) Black (17K),"30.00 USD 1,194.24 TL",30.00,17000,8,0,11530,HP CE260X (649X): CP4525
HP CE261A (647A) Cyan (11K),14.44 USD 574.83 TL,14.44,11000,20,0,11358,"HP CE261A (647A): CP4025, CP4525"
HP CE262A (647A) Yellow (11K),14.44 USD 574.83 TL,14.44,11000,20,0,11359,"HP CE262A (647A): CP4025, CP4525"
HP CE263A (647A) Magenta (11K),14.44 USD 574.83 TL,14.44,11000,10,0,11360,"HP CE263A (647A): CP4025, CP4525"
HP CE270A (650A) Black (13.5K),"33.22 USD 1,322.43 TL",33.22,13500,10,2,11427,"HP CE270A (650A): CP5520, CP5525, M750"
HP CE271A (650A) Cyan (15K),"33.22 USD 1,322.43 TL",33.22,15000,2,1,11428,"HP CE271A (650A): CP5520, CP5525, M750"
HP CE272A (650A) Yellow (15K),"33.22 USD 1,322.43 TL",33.22,15000,2,0,11429,"HP CE272A (650A): CP5520, CP5525, M750"
HP CE273A (650A) Magenta (15K),"33.22 USD 1,322.43 TL",33.22,15000,3,0,11430,"HP CE273A (650A): CP5520, CP5525, M750"
"HP CE278A & CRG-726, CRG-728 (2.1K)",3.48 USD 138.53 TL,3.48,2100,100,50,11340,"HP CE278A (78A): M1536, P1566, P1606; CANON CRG726: LBP6200, LBP6230, LBP6240; CANON CRG728: D530, D550, D560, L150, L170, L190, L410, MF4410, MF4412, MF4420, MF4430, MF4450, MF4550, MF4570, MF4580, MF4730, MF4750, MF4770, MF4780, MF4870, MF4890"
"HP CE285A,CB435A,CB436A & CANON CRG-712,713,725 (2K)",3.55 USD 141.32 TL,3.55,2000,100,100,11514,"HP CB435A (35A): P1002, P1003, P1004, P1005, P1006, P1009; HP CB436A (36A): P1505, M1120, M1522; HP CE285A (85A): P1102, P1104, P1107, P1109, M1130, M1132, M1134, M1137, M1138, M1139, M1210, M1212, M1213, M1214, M1216, M1217. M1219; CANON CRG712: LBP3010, LBP3050, LBP3100, LBP3150; CANON CRG713: LBP3250; CANON CRG725: LBP6000, LBP6020, LBP6030, MF3010"
"HP CE310A,CF350A & CANON CRG-729 Black (1.2K)",3.42 USD 136.14 TL,3.42,1200,100,10,11361,"HP CE310A (126A): CP1025, M175, M275; HP CF350A (130A): M176, M177; CANON CRG729: LBP7010, LBP7018"
"HP CE311A,CF351A & CANON CRG-729 Cyan (1K)",3.42 USD 136.14 TL,3.42,1000,100,6,11362,"HP CE311A (126A): CP1025, M175, M275; HP CF351A (130A): M176, M177; CANON CRG729: LBP7010, LBP7018"
"HP CE312A,CF352A & CANON CRG-729 Yellow (1K)",3.42 USD 136.14 TL,3.42,1000,100,3,11363,"HP CE312A (126A): CP1025, M175, M275; HP CF352A (130A): M176, M177; CANON CRG729: LBP7010, LBP7018"
"HP CE313A,CF353A & CANON CRG-729 Magenta (1K)",3.42 USD 136.14 TL,3.42,1000,100,3,11364,"HP CE313A (126A): CP1025, M175, M275; HP CF353A (130A): M176, M177; CANON CRG729: LBP7010, LBP7018"
HP CE314A (126A) Drum Unit (14K),5.21 USD 207.40 TL,5.21,14000,50,3,11441,"HP CE314A (126A): CP1025, M175, M176, M177, M275"
"HP CE505A,CF280A & CANON CRG-719 (2.7K)",4.92 USD 195.86 TL,4.92,2700,100,40,11534,"HP CE505A (05A): P2035, P2050, P2055; HP CF280A (80A): M401, M425; CANON CRG719: LBP251, LBP252, LBP253, LBP6300, LBP6310, LBP6650, LBP6670, LBP6680, MF411, MF414, MF416, MF418, MF419, MF5840, MF5850, MF5880, MF5940, MF5950, MF5960, MF5980, MF6140, MF6160, MF6180; CANON EXV40: IR1133"
"HP CE505X,CF280X & CANON CRG-719H (6.9K)",5.89 USD 234.47 TL,5.89,6900,100,30,11536,"HP CE505X (05X): P2050, P2055; HP CF280X (80X): M401, M425; CANON CRG719H: LBP251, LBP252, LBP253, LBP6300, LBP6310, LBP6650, LBP6670, LBP6680, MF411, MF414, MF416, MF418, MF419, MF5840, MF5850, MF5880, MF5940, MF5950, MF5960, MF5980, MF6140, MF6160, MF6180; CANON EXV40: IR1133"
