urun_adi,Fiyat_str,gelis_fiyati_usd,baski_kapasitesi,stok,kendi_depomuz,stok_kodu,yazici_uyumluluk_listesi
CANON C-EXV54 Magenta (207Gr/8.5k),19.17 USD 763.12 TL,19.17,8500,50,0,12893,"CANON C-EXV54: IRC3025, IRC3125"
CANON C-EXV54 Yellow (207Gr/8.5k),19.17 USD 763.12 TL,19.17,8500,50,0,12894,"CANON C-EXV54: IRC3025, IRC3125"
CANON C-EXV55 Black (330Gr./23K),21.00 USD 835.97 TL,21.00,23000,100,0,13193,"CANON C-EXV55: IR-C256,IR-C257,IR-C356,IR-C357"
CANON C-EXV55 Cyan (320Gr./18K),21.00 USD 835.97 TL,21.00,18000,50,0,13194,"CANON C-EXV55: IR-C256,IR-C257,IR-C356,IR-C357"
CANON C-EXV55 Magenta (320Gr./18K),21.00 USD 835.97 TL,21.00,18000,50,0,13195,"CANON C-EXV55: IR-C256,IR-C257,IR-C356,IR-C357"
CANON C-EXV55 Yellow (320Gr./18K),21.00 USD 835.97 TL,21.00,18000,50,0,13196,"CANON C-EXV55: IR-C256,IR-C257,IR-C356,IR-C357"
CANON C-EXV58 & GPR-61 & NPG-83 Black (995Gr./71K),"55.00 USD 2,189.45 TL",55.00,71000,20,0,14876,"CANON C-EXV58, GPR-61, NPG-83: XC5840, DXC5850, DXC5860, DXC5870, DXC6860, DXC6870"
CANON C-EXV58 & GPR-61 & NPG-83 Cyan (680Gr./60K),"61.11 USD 2,432.67 TL",61.11,60000,20,0,14877,"CANON C-EXV58, GPR-61, NPG-83: DXC5840, DXC5850, DXC5860, DXC5870, DXC6860, DXC6870"
CANON C-EXV58 & GPR-61 & NPG-83 Magenta (680Gr./60K),"61.11 USD 2,432.67 TL",61.11,60000,20,0,14878,"CANON C-EXV58, GPR-61, NPG-83: DXC5840, DXC5850, DXC5860, DXC5870, DXC6860, DXC6870"
CANON C-EXV58 & GPR-61 & NPG-83 Yellow (680Gr./60K),"61.11 USD 2,432.67 TL",61.11,60000,20,0,14879,"CANON C-EXV58, GPR-61, NPG-83: DXC5840, DXC5850, DXC5860, DXC5870, DXC6860, DXC6870"
CANON C-EXV59 (1325Gr/30k),24.44 USD 972.91 TL,24.44,30000,50,0,13188,"CANON C-EXV59: IR2625,IR2630,IR2635,IR2645"
CANON C-EXV61 & GPR-63 & NPG-85 (991Gr/71.5k),"61.47 USD 2,447.00 TL",61.47,71500,10,0,16100,"CANON C-EXV61, GPR63, NPG85: IR ADVANCE DX6855, DX6860, DX6870"
"CANON C-EXV64C & GPR-66C & NPG88 Cyan (370Gr./25,5k)","38.86 USD 1,546.94 TL",38.86,25500,20,0,16384,"CANON C-EXV64, GPR-66, NPG88: IR Advance DXC3922, DXC3926, DXC3930, DXC3935"
CANON C-EXV64K & GPR-66K&NPG88K Black (661Gr./38k),"38.86 USD 1,546.94 TL",38.86,38000,20,0,16383,"CANON C-EXV64, GPR-66, NPG88: IR Advance DXC3922, DXC3926, DXC3930, DXC3935"
"CANON C-EXV64M&GPR-66M & NPG88M Magenta (370Gr./25,5k)","38.86 USD 1,546.94 TL",38.86,25500,20,0,16385,"CANON C-EXV64, GPR-66, NPG88: IR Advance DXC3922, DXC3926, DXC3930, DXC3935"
"CANON C-EXV64Y & GPR-66Y & NPG88Y Yellow (370Gr./25,5k)","38.86 USD 1,546.94 TL",38.86,25500,20,0,16386,"CANON C-EXV64, GPR-66, NPG88: IR Advance DXC3922, DXC3926, DXC3930, DXC3935"
CANON C-EXV66 & GPR67 & NPG-89 (785Gr./44.5K),"45.98 USD 1,830.38 TL",45.98,44500,20,0,16388,"CANON C-EXV66, GPR67, NPG-89: IR Advance DX4925, DX4935, DX4945"
CANON C-EXV67 & NPG-90 (33K),"38.12 USD 1,517.48 TL",38.12,33000,10,0,16390,"CANON C-EXV67, NPG-90: IR 2925, IR2930, IR2935, IR2945"
CANON CRG-055BK Black (2.4K),8.42 USD 335.18 TL,8.42,2400,20,5,13154,"CANON CRG055 BK: LBP653, LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746"
CANON CRG-055C Cyan (2.1K),8.42 USD 335.18 TL,8.42,2100,20,4,13155,"CANON CRG055 C: LBP653, LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746"
CANON CRG-055HBK Black (7.6K),15.00 USD 597.12 TL,15.00,7600,20,2,13150,"CANON CRG055H BK: LBP653, LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746"
CANON CRG-055HC Cyan (5.9K),15.00 USD 597.12 TL,15.00,5900,10,0,13151,"CANON CRG055H C: LBP653, LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746"
CANON CRG-055HM Magenta (5.9K),15.00 USD 597.12 TL,15.00,5900,10,0,13152,"CANON CRG055H M: LBP653, LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746"
CANON CRG-055HY Yellow (5.9K),15.00 USD 597.12 TL,15.00,5900,10,0,13153,"CANON CRG055H Y: LBP653, LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746"
CANON CRG-055M Magenta (2.1K),8.42 USD 335.18 TL,8.42,2100,20,4,13156,"CANON CRG055 M: LBP653, LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746"
CANON CRG-055Y Yellow (2.1K),8.42 USD 335.18 TL,8.42,2100,20,4,13157,"CANON CRG055 Y: LBP653, LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746"
CANON CRG-056 (10k),20.83 USD 829.20 TL,20.83,10000,30,0,13159,"CANON CRG056: LBP325, MF542, MF543, MF552, MF553"
